timestamp	current_replicas	desired_replicas	cpu_utilization
2026-03-27 13:39:12	2	2	4
2026-03-27 13:39:13	2	2	4
2026-03-27 13:39:18	2	2	3
2026-03-27 13:39:23	2	2	3
